Data,Espèce,image,width,height,xmin,ymin,xmax,ymax
TRAIN,PIEBAV,Mangeoires/img79.jpg,240.0,136.0,38.5975,52.08125,141.83375,135.78
TRAIN,SITTOR,Mangeoires/img80.jpg,240.0,135.0,147.89,4.7425,223.3375,63.3875
TRAIN,SITTOR,Mangeoires/img81.jpg,240.0,136.0,90.9375,46.2875,176.325,135.78
TRAIN,SITTOR,Mangeoires/img82.jpg,240.0,135.0,129.67875,54.56875,202.55,95.84
TRAIN,PINARB,Mangeoires/img83.jpg,240.0,136.0,67.78375,52.08125,140.145,82.47375
TRAIN,VEREUR,Mangeoires/img84.jpg,240.0,135.0,21.26375,32.015,83.32375,79.7225
TRAIN,MESNON,Mangeoires/img85.jpg,240.0,135.0,137.64625,57.0275,178.6425,85.9
TRAIN,PIEBAV,Mangeoires/img86.jpg,240.0,136.0,98.66,45.94125,164.35125,136.0
TRAIN,ECUROU,Mangeoires/img87.jpg,240.0,136.0,113.60125,0.17,194.7075,135.585
TRAIN,ROUGOR,Mangeoires/img88.jpg,240.0,135.0,147.91625,43.55,180.9875,81.255
TRAIN,MESCHA,Mangeoires/img89.jpg,240.0,136.0,48.97,23.3775,137.25125,86.815
TRAIN,MESNOI,Mangeoires/img90.jpg,240.0,135.0,168.16625,62.98375,203.23375,83.12125
TRAIN,ROUGOR,Mangeoires/img91.jpg,240.0,136.0,187.18125,13.72875,239.76375,114.795
TRAIN,ECUROU,Mangeoires/img92.jpg,240.0,136.0,26.29625,49.18625,153.6525,135.53875
TRAIN,SITTOR,Mangeoires/img93.jpg,240.0,136.0,103.4375,69.68875,186.025,136.0
TRAIN,ECUROU,Mangeoires/img94.jpg,240.0,136.0,99.6225,19.76,176.32625,127.57875
TRAIN,ECUROU,Mangeoires/img95.jpg,240.0,136.0,103.40375,82.7,178.10625,135.8225
TRAIN,VEREUR,Mangeoires/img96.jpg,240.0,136.0,64.6475,60.2825,103.4825,127.57875
TRAIN,ECUROU,Mangeoires/img97.jpg,240.0,136.0,91.4225,22.4125,193.69375,136.0
TRAIN,MESBLE,Mangeoires/img98.jpg,240.0,136.0,44.86875,54.49375,96.97,95.98
TRAIN,ACCMOU,Mangeoires/img99.jpg,240.0,136.0,0.0,46.05,51.3875,125.64875
TRAIN,ACCMOU,Mangeoires/img100.jpg,240.0,136.0,174.875,64.3875,240.0,134.57375
TRAIN,ECUROU,Mangeoires/img101.jpg,240.0,136.0,113.85375,14.21125,181.15,115.03625
TRAIN,SITTOR,Mangeoires/img102.jpg,240.0,135.0,126.825,48.3175,171.475,90.4875
TRAIN,ROUGOR,Mangeoires/img103.jpg,240.0,135.0,73.33875,35.68,150.2075,74.92625
TRAIN,PINARB,Mangeoires/img104.jpg,240.0,135.0,116.21,109.94875,180.24125,135.0
TRAIN,MESCHA,Mangeoires/img105.jpg,240.0,135.0,133.72,60.5275,194.0275,83.755
TRAIN,MESBLE,Mangeoires/img106.jpg,240.0,136.0,113.6125,39.2975,174.155,114.55375
TRAIN,ECUROU,Mangeoires/img107.jpg,240.0,136.0,108.8575,0.88125,210.36,122.77875
TRAIN,ACCMOU,Mangeoires/img108.jpg,240.0,135.0,113.37125,47.95625,223.6025,103.91625
TRAIN,ROUGOR,Mangeoires/img109.jpg,240.0,136.0,97.69375,2.63375,161.85375,72.3425
TRAIN,MESCHA,Mangeoires/img110.jpg,240.0,136.0,29.19125,56.66375,113.6125,95.98125
TRAIN,MESBLE,Mangeoires/img111.jpg,240.0,136.0,24.6125,49.425,72.85,126.6125
TRAIN,MESCHA,Mangeoires/img112.jpg,240.0,136.0,56.4475,57.87,89.975,129.50875
TRAIN,ACCMOU,Mangeoires/img113.jpg,240.0,135.0,76.87625,37.3175,156.12,82.56375
TRAIN,VEREUR,Mangeoires/img114.jpg,240.0,136.0,76.4675,54.735,116.5075,98.15125
TRAIN,ACCMOU,Mangeoires/img115.jpg,240.0,136.0,175.36125,65.83,240.0,135.2975
TRAIN,ACCMOU,Mangeoires/img116.jpg,240.0,135.0,157.4675,51.6225,207.25,87.35
TRAIN,MESBLE,Mangeoires/img117.jpg,240.0,135.0,72.5725,49.47375,144.6625,82.9125
TRAIN,ACCMOU,Mangeoires/img118.jpg,240.0,135.0,116.025,29.625,186.4575,74.97125
TRAIN,MESNOI,Mangeoires/img119.jpg,240.0,135.0,212.10875,81.9525,240.0,135.0
TRAIN,SITTOR,Mangeoires/img120.jpg,240.0,135.0,90.18875,68.5475,122.845,99.64875
TRAIN,MESBLE,Mangeoires/img121.jpg,240.0,135.0,70.57125,70.99125,108.96875,112.68875
TRAIN,MESCHA,Mangeoires/img122.jpg,240.0,136.0,179.225,72.1,239.76375,129.0
TRAIN,ACCMOU,Mangeoires/img123.jpg,240.0,135.0,73.22375,8.5875,148.4575,83.17625
TRAIN,ROUGOR,Mangeoires/img124.jpg,240.0,136.0,20.74875,16.865,127.84375,86.09125
TRAIN,SITTOR,Mangeoires/img125.jpg,240.0,136.0,170.77875,59.3175,239.5225,136.0
TRAIN,ECUROU,Mangeoires/img126.jpg,240.0,136.0,118.58125,7.52125,217.2375,134.1625
TRAIN,PINARB,Mangeoires/img127.jpg,240.0,135.0,120.5125,54.5525,185.3075,104.8325
TRAIN,MESNOI,Mangeoires/img128.jpg,240.0,135.0,175.20125,65.78875,240.0,110.70375
TRAIN,PIEBAV,Mangeoires/img129.jpg,240.0,136.0,99.14,36.88,181.34375,136.0
TRAIN,PIEBAV,Mangeoires/img130.jpg,240.0,136.0,85.6325,56.18125,148.5875,136.0
TRAIN,VEREUR,Mangeoires/img131.jpg,240.0,136.0,96.4875,54.2525,122.29625,94.775
TRAIN,SITTOR,Mangeoires/img132.jpg,240.0,136.0,93.1125,54.25,160.8875,136.0
TRAIN,ECUROU,Mangeoires/img133.jpg,240.0,136.0,89.05,0.58375,174.1475,136.0
TRAIN,ECUROU,Mangeoires/img134.jpg,240.0,136.0,80.5,18.8475,175.72875,135.495
TRAIN,VEREUR,Mangeoires/img135.jpg,240.0,136.0,79.12,56.66375,152.68875,89.95
TRAIN,SITTOR,Mangeoires/img136.jpg,240.0,135.0,139.17375,65.075,236.885,100.84125
TRAIN,MESNON,Mangeoires/img137.jpg,240.0,136.0,72.125,16.62375,153.41125,65.58875
TRAIN,ROUGOR,Mangeoires/img138.jpg,240.0,135.0,151.695,52.34125,200.56625,101.83625
TRAIN,MESNOI,Mangeoires/img139.jpg,240.0,135.0,218.36875,83.21,240.0,132.77375
TRAIN,MESNON,Mangeoires/img140.jpg,240.0,135.0,44.47875,71.48875,110.72375,117.485
TRAIN,MESCHA,Mangeoires/img141.jpg,240.0,135.0,27.04,63.70375,140.1625,134.85
TRAIN,MESCHA,Mangeoires/img142.jpg,240.0,135.0,140.18375,78.82125,209.3625,130.92125
TRAIN,PIEBAV,Mangeoires/img143.jpg,240.0,136.0,108.8575,45.46625,239.76625,135.585
TRAIN,SITTOR,Mangeoires/img144.jpg,240.0,135.0,131.0275,55.4125,196.975,84.85125
TRAIN,ECUROU,Mangeoires/img145.jpg,240.0,136.0,99.60875,53.055,199.6875,135.3475
TRAIN,VEREUR,Mangeoires/img146.jpg,240.0,136.0,71.16,43.15625,94.31625,98.3925
TRAIN,MESNOI,Mangeoires/img147.jpg,240.0,135.0,135.0275,59.47625,173.90375,100.1675
TRAIN,PIEBAV,Mangeoires/img148.jpg,240.0,136.0,83.4625,45.08625,167.88375,136.0
TRAIN,MESCHA,Mangeoires/img149.jpg,240.0,136.0,96.97,44.3625,151.4825,85.12625
TRAIN,SITTOR,Mangeoires/img150.jpg,240.0,135.0,139.6925,67.925,229.6275,107.83875
TRAIN,SITTOR,Mangeoires/img151.jpg,240.0,135.0,127.77,94.98375,174.94,135.0
TRAIN,MESCHA,Mangeoires/img152.jpg,240.0,136.0,0.0,68.725,117.23125,136.0
TRAIN,MESCHA,Mangeoires/img153.jpg,240.0,136.0,0.0,23.375,77.1875,102.7375
TRAIN,ROUGOR,Mangeoires/img154.jpg,240.0,136.0,54.035,16.865,148.82875,91.15625
TRAIN,MESCHA,Mangeoires/img155.jpg,240.0,135.0,101.79375,39.2725,203.1,86.55
TRAIN,MESNON,Mangeoires/img156.jpg,240.0,136.0,70.4375,26.03125,164.74875,74.03125
TRAIN,SITTOR,Mangeoires/img157.jpg,240.0,135.0,98.8,50.02375,174.03375,102.93875
TRAIN,VEREUR,Mangeoires/img158.jpg,240.0,136.0,124.70875,51.59875,185.25125,84.64375
TRAIN,ECUROU,Mangeoires/img159.jpg,240.0,136.0,76.4675,20.2425,144.005,121.54875000000001
TRAIN,PIEBAV,Mangeoires/img160.jpg,240.0,136.0,55.72375,51.11625,154.37625,136.0
TRAIN,VEREUR,Mangeoires/img161.jpg,240.0,136.0,117.71375,52.56375,169.33125,81.50875
TRAIN,ROUGOR,Mangeoires/img162.jpg,240.0,135.0,67.9925,48.28375,153.485,91.93
TRAIN,MESNON,Mangeoires/img163.jpg,240.0,136.0,76.4625,5.775,140.875,52.325
TRAIN,MESBLE,Mangeoires/img164.jpg,240.0,136.0,109.03,54.49375,147.38125,77.4075
TRAIN,MESCHA,Mangeoires/img165.jpg,240.0,136.0,1.21125,83.4375,53.07,136.0
TRAIN,ACCMOU,Mangeoires/img166.jpg,240.0,135.0,117.05125,45.32,143.4375,78.7375
TRAIN,ACCMOU,Mangeoires/img167.jpg,240.0,136.0,112.4125,46.775,160.1625,98.15
TRAIN,MESCHA,Mangeoires/img168.jpg,240.0,135.0,127.3475,61.49875,157.81125,91.96125
TRAIN,SITTOR,Mangeoires/img169.jpg,240.0,135.0,133.58625,62.85375,179.2425,96.0975
TRAIN,SITTOR,Mangeoires/img170.jpg,240.0,135.0,78.61125,44.48875,111.60875,87.385
TRAIN,MESCHA,Mangeoires/img171.jpg,240.0,136.0,23.40125,55.94,97.4525,106.3525
TRAIN,PINARB,Mangeoires/img172.jpg,240.0,135.0,143.70875,50.4975,219.8475,89.14
TRAIN,MESCHA,Mangeoires/img173.jpg,240.0,136.0,35.4625,53.52875,105.89375000000001,99.84
TRAIN,ACCMOU,Mangeoires/img174.jpg,240.0,136.0,8.6875,98.3925,90.4575,136.0
TRAIN,MESCHA,Mangeoires/img175.jpg,240.0,135.0,103.37875,61.625,147.85375,90.05625
TRAIN,MESCHA,Mangeoires/img176.jpg,240.0,135.0,36.945,34.27375,102.06125,105.9025
TRAIN,ECUROU,Mangeoires/img177.jpg,240.0,136.0,50.5175,62.0675,117.87,135.3475
TRAIN,VEREUR,Mangeoires/img178.jpg,240.0,136.0,100.105,68.00125,178.015,120.58375
TRAIN,MESCHA,Mangeoires/img179.jpg,240.0,135.0,170.7375,57.29875,219.275,106.045
TRAIN,MESNON,Mangeoires/img180.jpg,240.0,135.0,165.16625,59.69875,189.75875,82.99
TRAIN,ROUGOR,Mangeoires/img181.jpg,240.0,136.0,50.17625,17.10625,113.37125,119.8625
TRAIN,MESCHA,Mangeoires/img182.jpg,240.0,136.0,11.3375,0.945,75.7375,115.2775
TRAIN,SITTOR,Mangeoires/img183.jpg,240.0,135.0,114.81125,62.845,156.02,127.1225
TRAIN,MESNON,Mangeoires/img184.jpg,240.0,135.0,155.93625,58.67875,207.32125,83.075
TRAIN,MESCHA,Mangeoires/img185.jpg,240.0,136.0,37.3875,52.5625,189.83749999999998,129.5125
TRAIN,SITTOR,Mangeoires/img186.jpg,240.0,136.0,61.6625,44.85,162.81875,94.05125
TRAIN,PINARB,Mangeoires/img187.jpg,240.0,135.0,68.675,46.25875,141.2475,113.90375
TRAIN,MESNOI,Mangeoires/img188.jpg,240.0,135.0,170.675,60.18375,197.13125,82.47375
TRAIN,PINARB,Mangeoires/img189.jpg,240.0,135.0,123.6375,49.12375,168.63375,91.24
TRAIN,MESCHA,Mangeoires/img190.jpg,240.0,136.0,2.41625,31.3375,120.6075,103.21625
TRAIN,MESNON,Mangeoires/img191.jpg,240.0,136.0,65.37125,20.48375,166.6775,85.85
TRAIN,ACCMOU,Mangeoires/img192.jpg,240.0,136.0,125.425,50.15,240.0,112.625
TRAIN,PINARB,Mangeoires/img193.jpg,240.0,135.0,150.645,56.715,178.56,88.17125
TRAIN,SITTOR,Mangeoires/img194.jpg,240.0,135.0,137.34625,48.86875,213.3625,113.38750000000002
TRAIN,MESNOI,Mangeoires/img195.jpg,240.0,135.0,132.77125,49.3825,175.16375,83.54625
TRAIN,SITTOR,Mangeoires/img196.jpg,240.0,136.0,70.4375,63.4125,142.3125,127.82499999999999
TRAIN,ROUGOR,Mangeoires/img197.jpg,240.0,136.0,164.9875,1.91,202.125,63.65875
TRAIN,ACCMOU,Mangeoires/img198.jpg,240.0,135.0,125.6475,40.04125,159.145,82.78875
TRAIN,PIEBAV,Mangeoires/img199.jpg,240.0,136.0,20.295,90.37,240.0,136.0
TRAIN,MESNOI,Mangeoires/img200.jpg,240.0,135.0,156.09625,63.77375,207.31875,83.70125
TRAIN,MESNON,Mangeoires/img201.jpg,240.0,136.0,167.16,72.58375,239.76375,130.45
TRAIN,PINARB,Mangeoires/img202.jpg,240.0,135.0,143.235,62.91,211.26875,111.50625
TRAIN,PIEBAV,Mangeoires/img203.jpg,240.0,136.0,116.68375,52.81875,239.2925,135.8225
TRAIN,PINARB,Mangeoires/img204.jpg,240.0,135.0,130.88,62.66375,232.99625,100.50375
TRAIN,MESNON,Mangeoires/img205.jpg,240.0,135.0,137.165,58.6875,194.96125,81.6375
TRAIN,PINARB,Mangeoires/img206.jpg,240.0,135.0,154.20625,47.55375,197.74875,86.43125
TRAIN,MESCHA,Mangeoires/img207.jpg,240.0,135.0,60.565,60.7725,118.88,97.31625
TRAIN,ACCMOU,Mangeoires/img208.jpg,240.0,135.0,150.27625,49.88625,240.0,99.575
TRAIN,MESNOI,Mangeoires/img209.jpg,240.0,135.0,140.415,57.03,186.03875,74.035
TRAIN,PIEBAV,Mangeoires/img210.jpg,240.0,136.0,103.8775,51.395,231.94125,135.3475
TRAIN,MESBLE,Mangeoires/img211.jpg,240.0,135.0,165.51875,77.58875,207.01625,130.835
TRAIN,MESNON,Mangeoires/img212.jpg,240.0,136.0,134.115,92.3625,161.13,124.20125
TRAIN,MESCHA,Mangeoires/img213.jpg,240.0,136.0,96.4875,7.69875,138.4575,60.765
TRAIN,MESNON,Mangeoires/img214.jpg,240.0,136.0,153.17125,72.3425,239.04,129.9875
TRAIN,MESCHA,Mangeoires/img215.jpg,240.0,136.0,141.5925,11.8,239.76375,61.006249999999994
TRAIN,ACCMOU,Mangeoires/img216.jpg,240.0,136.0,6.3725,49.325,60.2125,114.11875
TRAIN,PINARB,Mangeoires/img217.jpg,240.0,136.0,29.6725,41.95,107.34125,99.59875
TRAIN,MESNOI,Mangeoires/img218.jpg,240.0,135.0,126.0325,62.37125,187.17375,86.43125
TRAIN,ROUGOR,Mangeoires/img219.jpg,240.0,136.0,13.27125,30.61375,107.82375,92.845
TRAIN,PINARB,Mangeoires/img220.jpg,240.0,135.0,146.4775,55.3875,238.45,94.62375
TRAIN,ACCMOU,Mangeoires/img221.jpg,240.0,135.0,126.155,38.79125,181.39125,93.0625
TRAIN,PIEBAV,Mangeoires/img222.jpg,240.0,136.0,101.50625,37.64,171.70375,135.3475
TRAIN,ECUROU,Mangeoires/img223.jpg,240.0,136.0,98.6575,27.2375,185.4925,128.3025
TRAIN,SITTOR,Mangeoires/img224.jpg,240.0,135.0,51.235,64.91875,99.44125,134.63875
TRAIN,PINARB,Mangeoires/img225.jpg,240.0,135.0,103.6175,51.23625,145.385,90.81625
TRAIN,SITTOR,Mangeoires/img226.jpg,240.0,136.0,107.825,37.605,170.29625,106.83499999999998
TRAIN,MESCHA,Mangeoires/img227.jpg,240.0,135.0,165.71375,29.86625,192.005,68.7
TRAIN,VEREUR,Mangeoires/img228.jpg,240.0,136.0,31.6025,48.22125,103.24124999999998,101.52875
TRAIN,SITTOR,Mangeoires/img229.jpg,240.0,136.0,162.8125,57.87,240.0,136.0
TRAIN,ECUROU,Mangeoires/img230.jpg,240.0,136.0,98.41625,17.3475,170.5375,136.0
TRAIN,ECUROU,Mangeoires/img231.jpg,240.0,136.0,68.30375,45.70375,120.715,135.585
TRAIN,VEREUR,Mangeoires/img232.jpg,240.0,135.0,60.7325,43.1775,166.2475,81.71625
TRAIN,SITTOR,Mangeoires/img233.jpg,240.0,136.0,16.4,49.9125,58.85,99.6
TRAIN,SITTOR,Mangeoires/img234.jpg,240.0,135.0,135.02125,60.7475,215.415,94.345
TRAIN,MESNOI,Mangeoires/img235.jpg,240.0,135.0,164.13125,60.6125,203.65875,88.1975
TRAIN,SITTOR,Mangeoires/img236.jpg,240.0,135.0,111.1825,52.7375,150.31875,104.57375
TRAIN,VEREUR,Mangeoires/img237.jpg,240.0,136.0,74.29625,62.69375,114.5775,94.53375
TRAIN,SITTOR,Mangeoires/img238.jpg,240.0,136.0,148.35,70.7,240.0,136.0
TRAIN,SITTOR,Mangeoires/img239.jpg,240.0,135.0,152.0,63.5075,200.59625,95.455
TRAIN,MESNON,Mangeoires/img240.jpg,240.0,136.0,143.5225,69.2125,240.0,114.075
TRAIN,MESCHA,Mangeoires/img241.jpg,240.0,136.0,0.24625,7.21625,86.83875,63.65875
TRAIN,PIEBAV,Mangeoires/img242.jpg,240.0,136.0,62.375,53.76625,159.37125,135.585
TRAIN,MESNON,Mangeoires/img243.jpg,240.0,135.0,154.6175,62.30375,199.8875,81.5325
TRAIN,MESNOI,Mangeoires/img244.jpg,240.0,135.0,163.33625,62.81625,208.32625,84.01
TRAIN,MESBLE,Mangeoires/img245.jpg,240.0,136.0,87.32125,29.89,141.35125,80.06125
TRAIN,ACCMOU,Mangeoires/img246.jpg,240.0,135.0,84.10125,42.86625,143.09625,90.1125
TRAIN,VEREUR,Mangeoires/img247.jpg,240.0,136.0,82.4975,52.805,146.41625,94.775
TRAIN,MESBLE,Mangeoires/img248.jpg,240.0,135.0,164.575,59.02375,193.8475,99.7375
TRAIN,VEREUR,Mangeoires/img249.jpg,240.0,136.0,139.90375,65.3475,214.4375,136.0
TRAIN,VEREUR,Mangeoires/img250.jpg,240.0,136.0,84.4275,42.915,158.23625,82.71375
TRAIN,ECUROU,Mangeoires/img251.jpg,240.0,136.0,106.135,10.11125,171.02,135.2975
TRAIN,ROUGOR,Mangeoires/img252.jpg,240.0,135.0,131.91625,36.74625,191.01,87.0275
TRAIN,ECUROU,Mangeoires/img253.jpg,240.0,136.0,76.4675,66.55375,172.70875,132.16125
TRAIN,SITTOR,Mangeoires/img254.jpg,240.0,135.0,52.6075,72.0725,111.9625,117.9475
TRAIN,ROUGOR,Mangeoires/img255.jpg,240.0,136.0,145.4525,13.00625,239.28125,76.68375
TRAIN,VEREUR,Mangeoires/img256.jpg,240.0,136.0,85.6325,49.91,156.5475,81.99125
TRAIN,MESNON,Mangeoires/img257.jpg,240.0,136.0,49.21125,93.81,127.84375,136.0
TRAIN,VEREUR,Mangeoires/img258.jpg,240.0,136.0,138.4575,71.13625,210.33625,136.0
TRAIN,MESNON,Mangeoires/img259.jpg,240.0,136.0,165.4725,76.925,239.7625,118.17125
TRAIN,MESCHA,Mangeoires/img260.jpg,240.0,136.0,113.85375,43.15625,161.37125,97.91
TRAIN,MESBLE,Mangeoires/img261.jpg,240.0,136.0,174.87875,79.3375,239.04,117.6875
TRAIN,ECUROU,Mangeoires/img262.jpg,240.0,136.0,107.6725,70.13,172.1775,136.0
